"1770393761021124,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 -21 -4 -21 -3 -21 -3 -22 -2 -22 -1 -22 -1 -21 0 -21 0 -21 0 -21 1 -21 1 -21 2 -20 2 -20 2 -21 2 -20 3 -19 3 -18 3 -20 3 -19 3 -19 2 -19 2 -18 2 -19 2 -18 1 -18 0 0 1 -18 1 -18 1 -18 0 -17 0 -18 0 -18 0 -18 -1 -17 -1 -17 -2 -17 -2 -17 -2 -17 -2 -17 -2 -18 -3 -17 -3 -18 -3 -18 -4 -18 -4 -18 -4 -17 -5 -17 -4 -18 -5 -18 -5 -18  -8 -14 -9 -14 -9 -14 -9 -14 0 0 0 0 0 0 0 0 0 0]"
"1770393761021124,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 15 -12 15 -12 14 -13 14 -13 13 -14 13 -14 13 -14 12 -14 12 -14 12 -15 11 -14 11 -15 10 -15 10 -15 10 -15 10 -15 9 -15 9 -15 10 -14 9 -14 9 -14 9 -13 9 -14 9 -13 8 -13 9 0 0 -12 9 -12 9 -12 10 -12 9 -12 9 -12 10 -12 10 -1 -10 11 -10 11 -10 12 -10 12 -9 12 -9 12 -9 13 -9 12 -9 13 -10 13 -9 13 0 0 0 0 0 0 0 0 0 0]"
"1770393761021124,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 18 -3 18 -3 18 -2 18 -1 18 -1 19 0 18 0 18 1 18 1 18 2 18 2 18 2 17 3 17 3 17 3 17 2 16 3 16 3 16 3 16 3 16 3 15 3 16 3 15 3 15 2 15 2 0 0 15 2 15 1 15 1 15 1 14 1 15 1 15 0 15 0 15 0 14 -1 15 -1 14 -1 14 -1 15 -1 15 -2 15 -3 15 -3 15 -3 15 -3 15 -3 15 -3 15 -4 15 -4 15 -4 15 -4 15 -4 0 0 0 0 0 0 0 0 0 0]"
"1770393761037161,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 5 -18 6 -19 6 -18 7 -18 7 -18 8 -18 8 -17 8 -17 9 -17 9 -17 10 -16 9 -16 10 -15 10 -15 10 -15 9 -15 10 -14 10 -13 10 -15 9 -14 9 -14 9 -14 9 -13 9 -14 9 -13 8 -14 0 0 8 -14 7 -13 7 -14 7 -14 7 -14 6 -14 6 -14 6 -14 6 -14 5 -14 5 -14 5 -14 5 -14 5 -15 4 -15 4 -15 4 -15 4 -15 3 -16 3 -16 3 -16 3 -16 3 -16 3 -16 3 -16 3 -16 0 0 0 0 0 0 0 0 0 0]"
"1770393761037161,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -14 -13 -15 -12 -15 -12 -16 -11 -16 -11 -16 -10 -16 -10 -17 -10 -16 -9 -17 -9 -17 -9 -16 -9 -17 -8 -17 -8 -16 -8 -16 -8 -16 -8 -16 -8 -16 -7 -16 -7 -15 -7 -15 -7 -15 -7 -16 -7 -15 -8 -14 0 0 -8 -14 -8 -14 -8 -14 -8 -13 -8 -13 -9 -13 -9 -13 -9 -13 -10 -12 -10 -12 -11 -12 -10 -12 -10 -12 -10 -12 -11 -11 -11 -11 -11 -12 -12 -11 -12 -11 -12 -11 -12 -11 -13 -11 -13 -11 -13 -11 -13 -10 -13 -10 0 0 0 0 0 0 0 0 0 0]"
"1770393761037161,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 15 10 15 11 14 12 14 12 14 12 13 13 13 13 13 13 12 13 12 14 12 13 11 13 11 13 11 14 10 13 10 13 9 14 10 14 9 14 10 13 9 13 9 12 9 12 9 13 9 12 10 11 0 0 10 11 10 11 10 11 10 10 9 11 10 10 10 10 10 10 10 10 11 9 11 9 11 9 11 9 12 9 12 8 12 8 12 8 13 8 13 8 13 7 13 7 13 8 13 7 13 7 14 7 14 7 0 0 0 0 0 0 0 0 0 0]"
"1770393761052964,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 3 -21 4 -21 5 -21 6 -21 6 -21 7 -20 7 -19 8 -19 8 -19 8 -19 8 -19 9 -18 9 -18 9 -18 10 -18 9 -17 10 -16 9 -16 10 -16 10 -16 10 -16 9 -16 8 -16 9 -16 9 -16 8 -16 0 0 8 -16 8 -16 7 -16 7 -16 7 -15 7 -16 7 -16 6 -16 6 -16 5 -15 5 -16 5 -16 5 -16 5 -17 5 -17 4 -17 4 -17 3 -17 3 -18 3 -17 3 -17 3 -17 3 -18 2 -18 2 -18 2 -18 0 0 0 0 0 0 0 0 0 0]"
"1770393761052964,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -21 4 -21 4 -21 3 -22 2 -21 1 -21 1 -21 1 -21 0 -21 0 -21 -1 -21 -1 -21 -1 -20 -2 -20 -2 -20 -3 -20 -2 -20 -2 -19 -3 -19 -3 -19 -3 -18 -3 -18 -3 -18 -2 -18 -2 -18 -2 -18 -1 0 0 -18 -2 -17 -1 -17 -1 -17 -1 -17 0 -17 -1 -17 0 -17 1 -17 1 -17 1 -17 2 -17 2 -17 2 -17 2 -17 2 -17 3 -17 3 -17 3 -17 4 -17 4 -17 4 -17 5 -17 4 -17 5 -17 5 -17 5 0 0 0 0 0 0 0 0 0 0]"
"1770393761052964,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 -9 -17 -9 -17 -10 -17 -11 -16 -11 -16 -11 -15 -12 -16 -12 -14 -13 -15 -12 -15 -12 -14 -12 -14 -12 -13 -13 -13 -13 -13 -13 -12 -13 -12 -13 -12 -13 -12 -13 -12 -13 -11 -13 -12 -12 -12 -12 -12 -12 -12 -11 0 0 -12 -11 -12 -11 -12 -11 -12 -10 -12 -11 -12 -10 -12 -10 -12 -10 -12 -10 -13 -9 -13 -8 -13 -9 -13 -9 -14 -8 -13 -9 -14 -8 -14 -8 -14 -8 -14 -8 -14 -8 -15 -8 -15 -8 -15 -7 -15 -6 -15 -7 -15 -7 0 0 0 0 0 0 0 0 0 0]"
"1770393761068623,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 1 -19 2 -19 2 -20 3 -19 3 -19 4 -19 4 -19 5 -19 5 -18 5 -18 5 -18 6 -18 6 -17 6 -17 6 -17 6 -17 7 -16 6 -15 7 -16 6 -16 6 -16 6 -15 6 -15 6 -15 5 -15 5 -15 0 0 5 -15 5 -15 4 -15 4 -15 4 -15 4 -15 3 -15 3 -15 3 -15 2 -15 2 -15 2 -15 2 -15 2 -16 1 -15 0 -16 1 -16 0 -16 0 -16 0 -16 0 -16 -1 -16 0 -16 -1 -16 -1 -16 -1 -16 0 0 0 0 0 0 0 0 0 0]"
