"1768830912313062,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 14 -8 14 -9 13 -9 13 -10 13 -10 13 -11 12 -11 12 -11 11 -11 11 -11 11 -11 10 -12 11 -11 10 -12 10 -12 9 -12 10 -11 10 -11 9 -11 8 -11 9 -11 9 -1 0]"
"1768830912317599,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 14 -3 15 -2 15 -1 15 -1 15 0 15 0 15 1 15 1 14 1 14 2 14 2 14 2 14 3 13 3 14 3 13 2 13 3 12 3 13 3 13 4 12 4 12 3 11 3 12 3 12 3 11 2 0 0 12 2 11 2 12 2 11 1 12 2 12 1 12 1 11 1 11 0 11 0 11 0 12 0 12 0 12 0 12 -1 12 -1 12 -1 13 -2 12 -2 12 -2 13 -2 13 -2 13 -2 12 -2 13 -2 13 -3 0 0 0 0 0 0 0 0 0 0]"
"1768830912322022,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 12 -11 11 -12 11 -12 10 -13 11 -13 10 -13 10 -13 9 -13 9 -14 8 -14 8 -14 8 -14 7 -14 7 -14 6 -13 8 -13 7 -13 7 -13 6 -13 6 -13 6 -13 6 -12 6 -12 6 -12 6 -12 6 0 0 -11 6 -11 6 -11 7 -11 7 -10 7 -11 7 -10 7 -10 7 -10 8 -10 8 -9 9 -10 8 -9 8 -9 9 -9 9 -9 10 -9 10 -9 10 -8 10 -9 11 -9 11 -8 11 -9 11 -8 11 -8 11 -8 12 0 0 0 0 0 0 0 0 0 0]"
"1768830912326368,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 0 15 -1 15 -1 16 -2 16 -2 16 -3 16 -4 15 -4 15 -5 15 -4 15 -4 15 -5 14 -4 14 -5 14 -5 14 -5 13 -5 13 -5 13 -5 14 -5 13 -5 13 -5 12 -5 12 -4 12 -4 12 -4 12 0 0 -4 12 -3 12 -3 12 -3 12 -3 12 -2 12 -3 12 -2 12 -2 12 -2 12 -1 12 -1 12 -1 13 0 13 0 13 0 13 1 13 0 13 1 13 1 13 1 13 1 13 2 13 3 13 2 13 2 14 0 0 0 0 0 0 0 0 0 0]"
"1768830912332953,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 10 11 10 12 10 12 10 13 9 13 9 13 8 13 7 14 7 13 7 14 6 14 6 13 6 13 6 13 5 14 5 13 4 13 4 12 5 13 5 13 4 12 4 12 4 12 5 12 4 12 5 11 0 0 4 11 5 11 5 11 5 11 6 11 6 11 6 11 6 10 6 10 6 10 6 10 7 10 8 10 7 10 7 10 8 10 8 9 8 9 8 9 8 9 9 9 9 9 9 9 10 9 9 9 9 9 0 0 0 0 0 0 0 0 0 0]"
"1768830912343705,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 -14 -9 -14 -9 -15 -8 -15 -8 -15 -7 -15 -6 -15 -6 -15 -6 -15 -5 -16 -4 -15 -4 -15 -4 -15 -4 -15 -4 -16 -4 -15 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -4 -14 -3 -13 -4 -13 -3 -13 -3 -13 0 0 -4 -13 -4 -13 -4 -12 -4 -13 -5 -13 -5 -12 -5 -13 -5 -12 -5 -12 -5 -12 -6 -12 -6 -12 -6 -12 -7 -12 -6 -12 -7 -12 -7 -12 -7 -11 -8 -12 -8 -12 -8 -12 -9 -12 -9 -12 -9 -12 -9 -12 -9 -12 0 0 0 0 0 0 0 0 0 0]"
"1768830912350285,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -6 -16 -5 -16 -5 -16 -5 -17 -4 -17 -3 -18 -2 -17 -2 -17 -1 -17 -2 -17 -1 -16 0 -16 0 -17 0 -16 0 -16 0 -16 0 -15 0 -14 0 -16 0 -15 0 -15 0 -15 0 -14 -1 -15 -1 -14 -1 -14 0 0 -1 -14 -1 -13 -2 -14 -2 -13 -2 -14 -3 -14 -3 -14 -3 -13 -3 -13 -3 -12 -4 -13 -4 -13 -5 -13 -5 -13 -5 -12 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -7 -13 -7 -13 -8 -13 -7 -13 -7 -13 0 0 0 0 0 0 0 0 0 0]"
"1768830912356801,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 11 -12 11 -12 10 -13 10 -13 9 -14 9 -14 8 -14 7 -14 7 -14 7 -14 7 -14 7 -14 6 -14 6 -14 6 -14 6 -14 6 -13 5 -13 5 -13 5 -13 5 -13 4 -13 5 -12 5 -12 5 -12 6 0 0 -12 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 7 -10 7 -10 8 -10 8 -10 7 -10 8 -10 8 -10 8 -10 9 -9 9 -9 9 -9 9 -9 9 -9 10 -9 10 -9 10 -9 10 -9 11 -9 10 0 0 0 0 0 0 0 0 0 0]"
"1768830912361152,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 -6 -15 -6 -15 -7 -15 -8 -15 -8 -14 -9 -14 -8 -14 -8 -13 -9 -13 -10 -13 -9 -12 -10 -13 -10 -12 -10 -12 -10 -11 -10 -11 -10 -11 -10 -11 -10 -11 -10 -11 -10 -11 -9 -11 -9 -11 -9 -11 -9 -11 -8 0 0 -10 -8 -11 -8 -11 -7 -10 -7 -12 -8 -11 -7 -11 -7 -12 -7 -11 -6 -12 -6 -12 -5 -12 -6 -12 -5 -13 -5 -12 -5 -13 -4 -13 -5 -13 -4 -13 -4 -13 -3 -13 -4 -14 -4 -14 -4 -15 -3 -14 -3 -14 -3 0 0 0 0 0 0 0 0 0 0]"
"1768830912367621,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 4 -16 6 -16 5 -15 6 -15 7 -15 7 -15 7 -14 8 -14 8 -13 9 -14 8 -14 9 -13 9 -13 8 -13 9 -12 9 -12 9 -12 9 -12 9 -12 9 -11 8 -11 8 -11 8 -11 8 -11 7 -10 7 -11 0 0 7 -11 7 -11 6 -11 6 -11 6 -11 5 -11 6 -11 5 -11 6 -11 5 -12 5 -12 4 -12 4 -12 4 -12 4 -12 4 -13 4 -13 4 -13 3 -13 3 -13 3 -13 3 -13 3 -14 2 -14 3 -14 3 -14 0 0 0 0 0 0 0 0 0 0]"
