"1769237117432624,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 1 13 1 13 0 13 -1 13 0 13 -2 13 -2 13 -2 13 -2 12 -3 13 -3 13 -3 12 -3 12 -3 12 -3 12 -3 12 -4 11 -4 11 -4 12 -3 11 -3 11 -3 11 -3 11 -3 11 -2 11 - 2 12 2 12 2 12 2 12 0 0 0 0 0 0 0 0 0 0]"
"1769237117437124,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 10 -9 11 -8 11 -7 11 -7 11 -7 11 -7 11 -6 12 -6 12 -5 12 -5 11 -5 12 -5 11 -5 11 -5 12 -4 11 -5 11 -5 11 -5 11 -5 11 -4 10 -4 11 -4 11 -4 11 -4 10 -4 10 -5 0 0 10 -6 10 -5 10 -5 9 -5 9 -6 10 -6 9 -6 9 -6 9 -7 9 -7 9 -7 9 -7 9 -7 9 -7 9 -8 9 -8 9 -8 9 -9 9 -9 9 -9 9 -9 9 -8 9 -9 8 -9 8 -10 9 -10 0 0 0 0 0 0 0 0 0 0]"
"1769237117443556,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 3 12 2 12 1 13 1 12 1 13 0 13 0 13 0 13 -1 13 -1 13 -1 12 -2 12 -2 13 -1 12 -1 12 -2 12 -2 12 -2 12 -2 11 -2 11 -2 11 -2 11 -2 11 -2 12 -2 11 -1 11 0 0 -1 11 0 10 -1 11 0 11 -1 11 0 11 0 11 0 11 1 11 0 11 1 11 1 11 1 11 1 11 1 11 2 11 2 11 1 11 2 12 2 11 3 11 2 11 2 12 3 12 3 12 3 12 0 0 0 0 0 0 0 0 0 0]"
"1769237117447801,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 5 -14 5 -15 4 -14 4 -15 3 -15 3 -15 3 -15 2 -15 2 -15 1 -15 2 -15 2 -15 1 -14 1 -14 0 -14 1 -14 1 -13 0 -14 0 -14 0 -14 0 -13 0 -13 1 -13 1 -13 1 -13 1 0 0 -13 1 -13 1 -12 1 -13 2 -13 2 -13 2 -13 2 -12 2 -12 3 -13 3 -13 4 -13 3 -13 4 -13 4 -13 4 -13 4 -13 4 -13 5 -13 5 -13 4 -13 6 -13 5 -13 5 -13 6 -13 6 -13 6 0 0 0 0 0 0 0 0 0 0]"
"1769237117454169,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 4 -11 4 -12 3 -12 3 -12 3 -12 3 -12 2 -12 2 -12 2 -12 1 -12 1 -12 1 -12 0 -11 0 -12 0 -11 1 -11 0 -11 0 -11 0 -11 0 -11 0 -11 0 -11 0 -10 1 -11 0 -10 1 0 0 -10 1 -10 1 -10 2 -11 1 -10 1 -10 2 -10 2 -10 2 -10 2 -10 3 -10 3 -10 2 -10 3 -10 3 -10 3 -10 4 -10 3 -11 4 -10 4 -11 4 -10 4 -10 5 -10 4 -11 5 -11 5 -10 5 0 0 0 0 0 0 0 0 0 0]"
"1769237117458564,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -1 12 0 13 0 13 1 12 1 12 2 12 2 12 2 12 2 12 3 12 3 11 3 11 4 11 3 11 3 11 3 10 3 11 4 11 3 11 3 10 4 10 3 10 3 11 4 10 3 10 3 0 0 10 2 10 2 9 2 10 1 10 2 10 2 10 1 10 1 11 1 11 1 10 1 11 1 11 1 11 1 11 0 11 0 11 0 12 0 11 -1 11 -1 12 -1 11 -1 12 0 12 0 12 -1 12 -1 0 0 0 0 0 0 0 0 0 0]"
"1769237117462994,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -3 12 -3 12 -2 13 -2 12 -2 13 -1 13 -1 13 0 12 0 12 0 12 0 12 0 12 1 12 1 12 1 11 1 11 1 12 1 11 1 11 1 11 1 11 1 10 1 11 1 10 1 10 0 0 0 11 0 11 0 10 0 10 -1 10 0 10 0 10 -1 11 -1 10 -1 11 -1 10 -2 11 -1 11 -1 11 -2 11 -3 11 -2 11 -2 11 -3 11 -3 11 -3 11 -3 11 -3 12 -3 11 -3 12 -3 11 -4 0 0 0 0 0 0 0 0 0 0]"
"1769237117469372,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -6 12 -6 11 -7 10 -7 10 -7 11 -8 10 -8 10 -8 10 -9 9 -9 9 -8 9 -9 9 -8 8 -9 8 -9 8 -9 8 -9 8 -9 8 -9 7 -9 7 -8 7 -8 7 -9 7 -9 7 -8 7 -8 7 0 0 -8 7 -8 7 -8 8 -7 8 -7 7 -8 7 -7 8 -7 8 -7 8 -7 8 -7 9 -7 8 -7 9 -7 9 -7 9 -7 10 -6 9 -6 10 -7 10 -7 10 -6 10 -6 10 -6 10 -6 10 -7 10 -6 11 0 0 0 0 0 0 0 0 0 0]"
"1769237117473842,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 3 13 2 14 2 14 2 14 1 13 0 14 0 14 -1 14 -1 13 -1 13 -1 14 -2 13 -2 13 -2 13 -2 13 -2 12 -2 13 -3 12 -2 13 -2 12 -2 12 -2 11 -2 12 -2 12 -2 12 -2 12 0 0 -2 11 -1 11 -1 12 -1 11 -1 12 0 12 0 11 0 12 0 11 0 11 1 12 1 12 1 12 1 13 1 12 2 13 2 12 2 12 2 12 2 12 2 13 2 12 2 12 3 12 2 13 3 13 0 0 0 0 0 0 0 0 0 0]"
"1769237117478314,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 6 -11 7 -11 7 -10 8 -10 8 -10 9 -9 9 -9 9 -9 9 -9 9 -8 9 -8 9 -8 9 -8 9 -8 10 -7 9 -8 9 -7 9 -7 8 -7 9 -7 9 -7 9 -7 9 -7 8 -7 8 -7 8 -7 0 0 8 -7 8 -7 8 -7 8 -7 7 -7 8 -7 7 -7 7 -8 7 -8 7 -8 6 -9 7 -9 7 -9 7 -9 7 -9 7 -9 6 -9 6 -10 7 -9 7 -10 7 -10 7 -10 7 -10 6 -10 7 -11 7 -11 0 0 0 0 0 0 0 0 0 0]"
"1769237117485016,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 -4 -14 -4 -14 -5 -14 -5 -14 -5 -14 -6 -13 -6 -13 -6 -12 -7 -13 -7 -13 -7 -12 -7 -12 -8 -12 -7 -11 -7 -12 -7 -12 -7 -12 -7 -12 -7 -11 -7 -11 -7 -11 -7 -11 -7 -11 -7 -11 -7 -11 -6 0 0 -11 -6 -11 -6 -11 -5 -11 -5 -12 -5 -11 -5 -11 -5 -12 -5 -11 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 -4 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -14 -3 -14 -2 -14 -2 0 0 0 0 0 0 0 0 0 0]"
"1769237117489492,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 3 13 2 14 1 13 1 14 1 13 1 14 0 14 0 13 -1 13 -1 13 -1 13 -1 13 -1 13 -1 13 -2 13 -2 12 -2 12 -2 12 -2 13 -2 12 -2 11 -2 11 -2 11 -1 12 -1 11 -1 11 0 0 -1 12 0 11 0 11 0 11 0 12 0 11 0 11 1 11 1 11 1 11 1 11 1 11 2 12 2 12 1 11 2 12 2 11 3 12 3 12 2 12 3 12 3 12 3 12 3 12 4 12 3 12 0 0 0 0 0 0 0 0 0 0]"
"1769237117493952,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 3 13 2 14 1 14 1 14 1 13 0 14 0 14 -1 13 -1 13 -1 13 -1 13 -2 13 -2 13 -2 13 -2 13 -2 12 -2 13 -2 12 -2 12 -2 11 -2 12 -2 12 -2 12 -1 11 -1 11 -1 11 0 0 -1 11 0 11 0 12 -1 11 -1 11 0 11 0 11 0 11 0 11 1 11 1 11 1 11 1 12 2 12 2 12 2 12 2 12 2 12 3 12 2 12 3 12 3 12 3 12 3 12 3 12 3 12 0 0 0 0 0 0 0 0 0 0]"
"1769237117500618,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 -14 -4 -14 -3 -14 -3 -15 -2 -14 -2 -15 -1 -14 -1 -15 0 -14 -1 -14 0 -14 -1 -14 0 -14 0 -13 0 -13 0 -13 1 -13 1 -13 0 -13 1 -13 1 -12 1 -12 1 -12 0 -13 0 -12 0 -12 0 0 0 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -2 -12 -2 -12 -2 -12 -3 -12 -3 -12 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -4 -13 -4 -13 -4 -13 -4 -13 0 0 0 0 0 0 0 0 0 0]"
"1769237117505013,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 9 -11 9 -11 9 -10 10 -10 10 -10 11 -10 10 -10 11 -9 11 -9 11 -8 11 -8 11 -8 11 -7 11 -7 11 -7 11 -7 10 -7 10 -7 10 -7 10 -7 9 -7 9 -7 10 -7 9 -7 9 -7 9 -7 0 0 8 -8 9 -7 9 -8 9 -7 8 -8 8 -8 8 -8 7 -9 7 -9 7 -9 7 -9 8 -9 8 -9 7 -10 7 -10 7 -10 7 -11 7 -11 6 -11 7 -11 7 -11 7 -11 6 -11 7 -11 6 -11 6 -12 0 0 0 0 0 0 0 0 0 0]"
