"1769328522522670,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 -7 -9 -8 -9 -9 -8 -9 -8 -9 -7 -9 -7 -9 -6 -9 -6 -9 -6 -9 -6 -9 -5 -9 -5 -9 -5 -9 -5 -9 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -3 -8 -4 -7 -3 -6 -4 -7 -4 -6 -3 -6 0 0 -4 -5 -4 -5 -5 -5 -4 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -3 -6 -3 -7 -3 -6 -2 -6 -2 -7 -2 -7 -2 -7 -2 -8 -2 -8 -2 -8 -1 -8 -1 -9 -1 -9 -1 -10 -1 -10 -1 -10 -1 -10 0 0 0 0 0 0 0 0 0 0 0]"
"1769328522529373,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 0 -12 -1 -11 -1 -12 -2 -12 -3 -12 -2 -11 -3 -11 -3 -10 -3 -10 -4 -10 -3 -10 -4 -10 -4 -9 -4 -9 -4 -8 -4 -8 -4 -8 -3 -8 -4 -7 -5 -7 -4 -7 -4 -7 -3 -7 -4 -7 -3 -7 -2 0 0 -6 -2 -6 -1 -6 -1 -6 0 -7 -1 -6 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 2 -6 2 -6 2 -7 2 -7 3 -7 3 -8 4 -7 4 -7 4 -8 5 -8 4 -8 5 -8 5 -8 6 -8 6 0 0 0 0 0 0 0 0 0 0]"
"1769328522533848,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 1 10 1 11 0 11 0 11 -1 11 -1 11 -2 10 -2 10 -2 10 -2 9 -2 9 -2 9 -2 9 -2 9 -3 9 -3 8 -3 8 -3 7 -3 8 -3 7 -3 7 -3 6 -3 6 -2 6 -1 6 -2 6 0 0 -1 5 0 5 0 6 0 5 1 5 1 5 1 5 1 5 1 5 1 4 2 5 3 5 3 5 3 5 3 5 4 6 4 5 5 5 4 6 5 5 5 6 6 6 6 6 7 6 7 6 7 6 0 0 0 0 0 0 0 0 0 0]"
"1769328522538310,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 10 2 10 3 10 3 11 4 10 4 9 4 9 4 9 5 8 5 8 5 8 4 8 5 8 5 7 5 7 5 6 5 6 5 6 4 6 5 5 5 5 5 5 4 5 3 5 4 5 3 5 3 0 0 5 2 5 2 5 2 5 1 5 1 5 1 5 1 5 0 6 0 5 -1 6 -1 6 -1 6 -1 6 -1 7 -2 7 -3 7 -2 7 -3 7 -3 7 -3 8 -4 8 -3 8 -4 8 -5 8 -5 8 -5 0 0 0 0 0 0 0 0 0 0]"
"1769328522545046,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 -10 -3 -11 -3 -11 -2 -11 -2 -11 -1 -11 0 -10 0 -10 0 -10 0 -10 1 -10 1 -9 1 -9 1 -9 1 -8 1 -8 1 -8 1 -8 1 -8 1 -7 1 -7 1 -7 1 -7 1 -6 0 -6 0 -6 0 0 0 -6 -1 -6 -1 -5 -1 -6 -1 -6 -2 -6 -2 -6 -2 -6 -2 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -5 -6 -5 -6 -5 -6 -6 -6 -6 -6 -6 -6 -7 -7 -7 -6 -7 -7 -7 -6 0 0 0 0 0 0 0 0 0 0]"
"1769328522549518,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -1 -11 0 -10 0 -11 0 -10 1 -10 1 -10 2 -10 2 -10 2 -9 2 -9 3 -9 3 -8 3 -9 2 -8 3 -8 3 -8 3 -7 2 -7 3 -7 3 -7 2 -7 2 -6 2 -6 2 -6 2 -6 1 -6 0 0 1 -6 1 -6 0 -6 0 -6 0 -6 0 -6 -1 -5 -1 -6 -1 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -3 -6 -3 -6 -4 -7 -4 -6 -4 -6 -4 -7 -4 -7 -5 -7 -4 -8 -5 -8 -5 -7 -6 -8 0 0 0 0 0 0 0 0 0 0]"
"1769328522554047,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 -9 -8 -9 -7 -9 -8 -10 -6 -10 -6 -10 -6 -10 -5 -10 -5 -10 -4 -10 -4 -10 -3 -9 -4 -10 -3 -9 -3 -9 -3 -8 -3 -9 -2 -8 -3 -9 -2 -8 -3 -8 -2 -8 -2 -7 -2 -7 -3 -7 -3 -6 0 0 -3 -6 -3 -5 -4 -6 -3 -5 -4 -5 -4 -5 -4 -5 -5 -5 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -3 -7 -4 -7 -4 -8 -3 -8 -3 -8 -3 -9 -3 -9 -3 -9 -4 -10 -3 -9 -3 -10 -3 0 0 0 0 0 0 0 0 0 0]"
"1769328522558521,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 2 10 2 10 1 11 1 11 0 11 0 11 -1 10 -1 10 -2 10 -1 10 -2 10 -2 9 -2 9 -2 9 -2 9 -2 8 -2 8 -2 7 -2 8 -2 7 -2 7 -2 6 -2 6 -2 6 -1 6 -1 6 0 0 -1 6 1 5 0 6 1 5 1 5 1 5 2 5 2 5 2 5 2 4 2 5 4 5 3 5 4 5 4 5 4 5 5 5 5 5 5 5 6 5 6 5 6 5 7 6 8 5 7 5 7 5 0 0 0 0 0 0 0 0 0 0]"
"1769328522565236,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 8 -9 7 -9 7 -9 6 -9 6 -9 6 -10 6 -10 5 -9 4 -9 4 -10 4 -9 4 -9 3 -9 3 -9 3 -9 3 -9 3 -8 3 -8 2 -8 2 -8 2 -7 2 -7 2 -6 2 -6 2 -6 3 0 0 -6 3 -5 3 -5 3 -5 3 -4 3 -5 3 -4 4 -4 4 -4 5 -3 5 -3 6 -3 5 -2 6 -2 6 -3 6 -2 7 -2 7 -2 7 -2 8 -2 7 -1 8 -1 8 -1 8 -1 9 -1 9 0 10 0 0 0 0 0 0 0 0 0 0]"
"1769328522569677,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 -11 -5 -11 -5 -11 -4 -11 -3 -11 -3 -11 -3 -11 -2 -11 -2 -11 -1 -11 -1 -11 -1 -10 -1 -10 -1 -9 0 -10 -1 -9 0 -9 0 -9 -1 -9 0 -8 0 -8 -1 -8 0 -7 -1 -7 -1 -7 -1 -7 0 0 -2 -6 -2 -6 -2 -6 -2 -6 -3 -6 -3 -6 -3 -5 -4 -6 -4 -5 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -7 -6 -7 -5 -7 -5 -7 -5 -7 -5 -8 -5 -8 -6 -9 -5 -9 -5 -9 -5 0 0 0 0 0 0 0 0 0 0]"
"1769328522574166,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -7 -10 -7 -10 -7 -10 -6 -10 -6 -11 -5 -10 -5 -11 -4 -10 -4 -10 -4 -10 -3 -10 -3 -10 -3 -10 -3 -9 -2 -10 -2 -9 -2 -8 -2 -8 -2 -9 -2 -8 -2 -8 -2 -8 -1 -7 -2 -7 -2 -7 -2 -6 0 0 -3 -6 -4 -6 -3 -6 -3 -6 -4 -5 -4 -6 -4 -5 -5 -5 -5 -5 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -4 -8 -4 -8 -3 -7 -3 -8 -3 -9 -4 -9 -3 -9 -4 -10 -3 -10 -3 -10 -3 0 0 0 0 0 0 0 0 0 0]"
"1769328522580652,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -2 -11 -2 -11 -3 -11 -3 -12 -4 -11 -3 -11 -4 -10 -4 -10 -4 -10 -5 -10 -5 -9 -4 -9 -5 -8 -5 -8 -5 -9 -5 -7 -4 -8 -4 -7 -4 -7 -5 -7 -4 -7 -4 -7 -4 -6 -4 -6 -3 -6 -3 0 0 -6 -2 -6 -2 -6 -2 -6 -1 -6 -1 -6 -1 -6 -1 -6 0 -6 0 -7 1 -7 1 -6 1 -7 2 -7 2 -7 3 -7 3 -7 3 -7 4 -7 4 -7 4 -8 4 -8 4 -8 5 -8 5 -8 5 -9 6 0 0 0 0 0 0 0 0 0 0]"
"1769328522585043,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 4 -11 4 -11 3 -11 2 -11 2 -11 2 -11 1 -11 1 -11 0 -11 0 -11 0 -10 0 -10 0 -10 -1 -9 -1 -9 -1 -9 -1 -9 -1 -8 -1 -8 -1 -8 -1 -7 -1 -7 -1 -7 0 -7 0 -7 0 0 0 -7 1 -6 1 -6 1 -6 1 -5 1 -6 1 -5 2 -5 2 -6 3 -6 3 -6 4 -5 4 -5 4 -5 4 -5 4 -6 5 -5 5 -5 5 -6 6 -5 6 -5 7 -5 7 -5 7 -5 8 -5 8 -6 9 0 0 0 0 0 0 0 0 0 0]"
"1769328522591606,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 3 -10 3 -10 4 -10 4 -10 4 -9 5 -9 5 -8 5 -8 5 -7 5 -8 6 -7 5 -7 5 -7 5 -7 6 -6 5 -6 5 -5 5 -5 5 -6 5 -5 4 -5 4 -5 4 -4 4 -5 3 -5 3 -5 0 0 3 -5 2 -5 2 -5 2 -5 2 -5 1 -6 1 -6 1 -6 1 -6 0 -6 0 -6 0 -6 0 -7 0 -7 -1 -6 -1 -7 -1 -7 -1 -7 -1 -7 -2 -8 -2 -8 -2 -8 -2 -9 -3 -9 -2 -9 -3 -9 0 0 0 0 0 0 0 0 0 0]"
"1769328522595959,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 11 -4 12 -4 11 -3 12 -2 11 -2 11 -2 12 -2 11 -2 11 -1 10 -1 11 -1 10 -1 10 0 9 0 10 1 9 0 9 0 8 0 8 1 8 1 7 1 7 1 7 0 7 0 7 0 7 0 0 0 7 -2 6 -2 6 -2 6 -2 5 -2 6 -3 5 -3 5 -3 5 -4 5 -4 5 -5 5 -4 5 -5 5 -5 5 -6 6 -7 5 -7 5 -7 5 -8 5 -8 5 -9 5 -8 5 -9 5 -10 5 -10 5 -11 0 0 0 0 0 0 0 0 0 0]"
"1769328522600262,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 0 -11 0 -12 0 -12 1 -12 1 -11 1 -12 2 -11 2 -11 2 -10 3 -10 3 -10 3 -9 3 -10 3 -9 3 -9 3 -8 3 -8 3 -8 2 -8 3 -7 2 -7 2 -7 2 -6 2 -7 2 -7 1 -6 0 0 1 -7 0 -6 0 -6 0 -6 -1 -6 -1 -6 -1 -6 -2 -6 -2 -6 -2 -6 -3 -6 -3 -6 -3 -6 -4 -7 -4 -6 -4 -7 -4 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -6 -8 -7 -8 -7 -7 -7 -8 0 0 0 0 0 0 0 0 0 0]"
"1769328522606740,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -3 -12 -3 -12 -4 -12 -5 -12 -5 -12 -5 -11 -5 -11 -5 -10 -6 -10 -6 -10 -6 -10 -6 -9 -6 -9 -6 -9 -7 -9 -6 -8 -6 -8 -5 -8 -6 -7 -6 -7 -6 -7 -5 -7 -4 -6 -5 -6 -4 -7 -4 0 0 -7 -3 -7 -3 -6 -2 -7 -2 -6 -2 -7 -2 -6 -1 -7 -1 -7 -1 -7 0 -7 1 -7 1 -7 1 -8 1 -8 2 -8 2 -8 2 -8 3 -9 3 -8 4 -9 4 -9 4 -9 4 -9 5 -10 5 -10 6 0 0 0 0 0 0 0 0 0 0]"
"1769328522611076,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 11 -3 11 -3 10 -3 11 -3 11 -4 10 -5 10 -5 9 -5 9 -4 9 -5 9 -5 8 -5 8 -5 7 -5 7 -5 7 -5 7 -5 6 -5 6 -5 6 -5 6 -4 6 -4 6 -4 6 -3 5 -3 5 0 0 -3 5 -1 5 -2 5 -2 5 -1 5 -1 5 0 5 0 5 -1 5 0 5 0 5 1 5 1 6 2 6 1 6 2 6 3 6 3 6 3 7 3 6 4 7 4 7 5 7 5 7 5 8 5 7 0 0 0 0 0 0 0 0 0 0]"
"1769328522615381,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 1 10 1 11 0 11 0 11 -1 10 -1 10 -1 10 -2 10 -2 9 -2 10 -3 9 -3 9 -3 9 -3 9 -3 8 -3 8 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 6 -3 6 -2 6 -2 5 0 0 -1 5 -1 5 0 5 0 5 0 5 0 5 0 5 1 5 1 5 1 5 2 5 2 5 2 6 3 6 3 5 3 6 4 6 4 6 5 6 5 6 5 6 5 6 5 7 6 7 6 7 7 7 0 0 0 0 0 0 0 0 0 0]"
"1769328522621871,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 0 -12 0 -12 -1 -12 -2 -12 -2 -12 -2 -11 -3 -11 -2 -10 -3 -10 -4 -10 -3 -10 -3 -10 -4 -9 -4 -9 -4 -9 -4 -8 -3 -8 -3 -8 -4 -8 -4 -7 -4 -7 -4 -7 -3 -7 -3 -7 -3 -6 -2 0 0 -6 -1 -6 -1 -6 -1 -6 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -6 2 -6 2 -6 2 -6 3 -7 3 -7 4 -7 4 -7 5 -7 4 -7 5 -7 5 -7 5 -7 5 -7 6 -8 7 -7 7 0 0 0 0 0 0 0 0 0 0]"
"1769328522626185,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 6 -11 6 -11 6 -11 7 -10 7 -11 8 -10 8 -9 8 -9 8 -8 8 -8 8 -8 8 -7 8 -7 8 -6 8 -7 9 -6 8 -5 7 -5 7 -6 7 -5 6 -4 6 -5 6 -5 5 -5 5 -5 5 -5 0 0 4 -5 4 -5 4 -5 4 -5 3 -6 3 -6 3 -6 2 -6 3 -6 1 -6 2 -7 0 -7 1 -7 1 -8 1 -8 1 -8 0 -9 0 -9 0 -9 0 -10 -1 -10 -1 -10 -2 -11 -2 -11 -1 -11 -2 -11 0 0 0 0 0 0 0 0 0 0]"
"1769328522638974,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 4 -11 4 -11 3 -11 3 -11 2 -12 2 -11 2 -11 1 -11 1 -10 1 -11 0 -10 1 -10 0 -10 0 -9 -1 -9 0 -9 0 -9 -1 -8 -1 -8 -1 -8 -1 -7 -1 -7 0 -7 0 -7 0 -7 0 0 0 -6 1 -6 1 -6 1 -6 1 -6 2 -6 2 -5 2 -5 3 -5 3 -5 3 -5 4 -4 4 -5 4 -5 4 -5 5 -5 5 -5 5 -5 7 -5 6 -5 7 -5 7 -5 7 -4 7 -5 8 -5 8 -5 9 0 0 0 0 0 0 0 0 0 0]"
"1769328522643321,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 3 -11 2 -12 2 -11 1 -11 0 -12 1 -12 0 -11 0 -11 -1 -11 -1 -11 -1 -10 -1 -10 -1 -10 -2 -9 -2 -10 -2 -9 -2 -9 -2 -8 -2 -8 -2 -8 -2 -7 -2 -7 -2 -7 -1 -7 -1 -7 -1 0 0 -7 0 -7 0 -6 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 2 -6 2 -6 3 -5 3 -6 3 -6 3 -6 4 -6 4 -6 4 -6 5 -6 5 -6 5 -7 6 -6 6 -7 6 -7 7 -7 7 -7 7 0 0 0 0 0 0 0 0 0 0]"
"1769328522649805,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 1 11 0 11 0 11 0 11 -1 11 -1 10 -2 10 -2 10 -3 9 -2 10 -3 9 -3 9 -2 9 -3 8 -3 8 -4 8 -3 7 -3 7 -3 7 -3 7 -3 7 -3 6 -3 6 -2 6 -1 6 -2 6 0 0 -1 5 0 5 0 6 0 5 0 5 1 5 1 5 2 5 1 5 2 5 2 5 3 5 3 5 4 5 3 5 4 6 4 5 5 5 5 6 5 5 6 5 6 6 6 6 7 5 7 6 7 6 0 0 0 0 0 0 0 0 0 0]"
"1769328522654150,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 3 -12 3 -11 2 -12 2 -11 1 -11 1 -12 1 -11 0 -11 0 -10 -1 -11 -1 -11 -1 -10 -1 -10 -1 -10 -1 -10 -1 -9 -1 -9 -1 -9 -2 -8 -2 -8 -2 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 0 0 -7 0 -6 0 -6 1 -6 1 -6 1 -6 1 -6 2 -5 2 -6 3 -5 2 -6 3 -5 3 -5 4 -5 4 -6 4 -6 5 -5 5 -6 6 -6 6 -5 6 -6 7 -5 7 -5 7 -5 8 -6 8 -6 9 0 0 0 0 0 0 0 0 0 0]"
