"1770392941381953,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 11 15 10 15 10 16 10 16 9 17 9 16 8 16 8 17 7 17 7 18 7 17 7 17 6 17 6 17 5 17 5 17 5 17 5 17 5 17 4 17 4 16 4 16 5 16 5 16 5 15 5 15 0 0 5 15 5 15 5 15 6 14 6 14 6 14 6 14 6 14 7 14 7 13 8 13 8 14 8 14 8 13 8 117 -4 -18 -4 -17 -4 -17 -4 -17 -5 -17 0 0 -5 -17 -5 -16 -5 -17 - -6 -16 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -8 -15 -8 -15 -8 -15 -9 -15 -9 -15 -9 -15 -9 -15 -9 -14 -10 -14 -10 -14 -10 -14 0 0 0 0 0 0 0 0 0 0]"
"1770392941381953,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 11 -16 11 -17 10 -17 10 -17 9 -18 9 -17 9 -18 8 -18 8 -18 7 -18 7 -18 7 -18 6 -18 7 -18 6 -18 6 -18 6 -17 6 -17 5 -17 5 -17 5 -17 5 -17 6 -17 6 -16 6 -16 6 0 0 -16 6 -15 6 -15 6 -15 6 -15 7 -15 7 -15 7 -15 7 -14 8 -14 8 -14 9 -14 8 -14 9 -14 9 -13 9 -13 10 -13 10 -13 10 -13 10 -13 10 -13 10 -12 11 -12 11 -12 12 -12 11 -12 11 0 0 0 0 0 0 0 0 0 0]"
"1770392941381953,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 3 -21 4 -22 5 -21 5 -22 6 -21 7 -22 8 -20 7 -20 8 -20 8 -20 9 -20 9 -19 9 -19 10 -19 10 -19 10 -18 10 -18 10 -17 10 -18 10 -17 10 -17 10 -17 9 -16 9 -16 9 -17 9 -17 0 0 9 -16 8 -16 8 -17 8 -16 8 -17 8 -17 7 -17 7 -17 7 -16 6 -16 6 -17 6 -17 6 -17 6 -18 5 -17 5 -18 5 -18 4 -18 4 -18 4 -18 4 -18 4 -18 4 -18 3 -19 3 -19 3 -19 0 0 0 0 0 0 0 0 0 0]"
"1770392941411420,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 19 7 19 8 18 9 19 10 18 10 18 11 18 11 17 11 17 12 17 12 17 12 16 12 16 12 16 13 15 13 15 13 14 13 14 13 15 13 14 13 14 12 13 12 14 12 14 12 13 11 14 11 0 0 14 11 14 10 14 10 14 10 14 10 14 10 14 9 15 9 15 9 15 8 15 8 15 8 15 7 16 7 16 7 16 7 16 6 17 6 17 6 16 6 17 5 16 5 17 5 17 4 17 5 17 4 0 0 0 0 0 0 0 0 0 0]"
"1770392941411420,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 -9 -18 -9 -17 -10 -18 -11 -17 -11 -17 -12 -16 -12 -16 -12 -16 -12 -15 -13 -15 -13 -15 -13 -14 -13 -14 -14 -14 -14 -13 -13 -14 -14 -13 -13 -13 -14 -13 -13 -13 -13 -12 -13 -12 -13 -12 -13 -12 -12 -13 -12 0 0 -13 -12 -12 -11 -13 -11 -13 -11 -13 -11 -13 -11 -13 -11 -13 -10 -13 -10 -14 -9 -14 -9 -14 -9 -14 -9 -14 -9 -14 -9 -15 -9 -14 -8 -15 -9 -15 -8 -15 -8 -15 -8 -15 -8 -15 -7 -16 -7 -16 -7 -16 -7 0 0 0 0 0 0 0 0 0 0]"
"1770392941411420,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 12 -15 12 -16 11 -16 11 -17 10 -17 10 -17 10 -17 9 -17 8 -18 9 -18 8 -18 8 -18 8 -18 7 -17 7 -18 7 -18 7 -17 7 -17 6 -16 6 -16 7 -16 6 -16 6 -17 7 -16 6 -16 7 0 0 -15 7 -15 7 -15 7 -15 7 -15 7 -14 8 -14 8 -14 8 -14 8 -13 8 -13 9 -13 9 -13 9 -13 10 -13 9 -13 10 -13 10 -13 10 -12 11 -12 11 -12 11 -12 11 -12 11 -12 12 -11 12 -11 12 0 0 0 0 0 0 0 0 0 0]"
"1770392941427534,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 14 -14 14 -13 15 -13 15 -12 16 -12 16 -11 16 -11 17 -10 16 -10 17 -10 17 -9 17 -9 17 -9 17 -8 16 -8 17 -8 16 -7 17 -8 16 -7 16 -7 16 -7 15 -7 16 -7 16 -7 15 -7 15 -7 0 0 14 -7 14 -7 14 -8 14 -8 14 -8 14 -8 13 -8 14 -9 13 -9 13 -9 13 -9 13 -9 12 -9 12 -10 12 -10 12 -10 12 -11 12 -11 12 -11 12 -11 12 -11 12 -11 12 -12 12 -12 11 -12 11 -12 0 0 0 0 0 0 0 0 0 0]"
"1770392941427534,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 14 11 14 12 14 13 14 13 13 13 13 14 12 14 12 15 12 14 11 15 11 15 11 14 10 15 10 15 10 15 9 15 9 15 9 15 9 15 9 15 9 15 8 14 9 14 9 14 9 14 9 13 0 0 9 13 9 13 9 13 9 12 9 13 9 12 9 12 10 12 10 11 10 11 11 11 11 11 11 11 11 11 11 10 12 10 12 10 12 10 13 10 12 10 12 10 12 10 13 9 13 9 13 9 13 9 0 0 0 0 0 0 0 0 0 0]"
"1770392941427534,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -19 3 -20 2 -20 1 -20 1 -20 0 -20 0 -20 -1 -20 -2 -20 -2 -20 -2 -20 -2 -19 -2 -19 -2 -19 -3 -19 -3 -19 -3 -18 -3 -18 -3 -18 -4 -18 -3 -18 -3 -17 -3 -17 -3 -17 -3 -17 -3 -18 -2 0 0 -17 -2 -17 -2 -17 -2 -17 -1 -17 -1 -17 -1 -17 -1 -16 0 -16 0 -16 1 -17 1 -16 1 -16 1 -17 2 -16 2 -16 3 -16 3 -16 3 -17 3 -17 3 -16 4 -16 4 -16 4 -16 5 -16 5 -16 5 0 0 0 0 0 0 0 0 0 0]"
"1770392941443571,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 6 -18 7 -19 7 -19 8 -19 8 -18 9 -18 9 -17 9 -17 10 -17 10 -17 10 -16 11 -16 11 -16 11 -15 11 -15 10 -15 11 -15 11 -14 11 -15 11 -14 11 -14 10 -14 10 -14 10 -14 10 -14 9 -14 0 0 9 -14 9 -14 9 -14 8 -14 9 -14 8 -14 7 -14 7 -15 7 -14 7 -14 7 -15 7 -15 6 -15 6 -15 6 -15 5 -16 5 -16 5 -16 4 -16 4 -16 4 -16 4 -16 5 -16 4 -16 4 -16 3 -16 0 0 0 0 0 0 0 0 0 0]"
